Burlington - Stowe, 3*, Williston, Courtyard, 22.0%
Burlington - Stowe, 3*, Williston, Residence Inn, 20.5%
Burlington - Stowe, 3*, Williston, Sheraton, 44.9%
Burlington - Stowe, 3*, Williston, Wyndham, 12.7%
Akron , 2.5*, Macedonia-Twinsburg-Stow, Courtyard, 100.0%
Calgary, 3*, South, Glenmore Inn and Convention Centre, 20.6%
Calgary, 3*, South, Holiday Inn, 79.4%
Brussels, 5*, Airport, Sheraton, 100.0%
Calgary, 4*, Downtown, Marriot, 5.6%
Calgary, 4*, Downtown, Sheraton, 7.6%
Calgary, 4*, Downtown, Hyatt, 86.8%
Budapest, 5*, Pest, Hilton, 14.2%
Budapest, 5*, Pest, Sofitel, 85.8%
Buffalo, 4*, Ontario, Sheraton, 100.0%
Boston Southeast Suburbs, 3*, Raynham-Middleboro, Courtyard, 100.0%
Akron , 3*, Fairlawn, Holiday Inn, 55.5%
Akron , 3*, Fairlawn, Radisson, 44.5%
Boston Metro West, 3.5*, Newton-Waltham, Marriot, 100.0%
Boulder, 3*, Louisville, Courtyard, 100.0%
Boston Metro West, 4*, Newton-Waltham, Westin, 100.0%
Boise, 3*, West, Hyatt, 100.0%
Zurich, 3*, Glatbrugg, NH Zurich Airport, 100.0%
Zurich, 4*, Glatbrugg, Renaissance, 100.0%
Boston North Shore, 3*, Woburn-Wakefield, Holiday Inn, 17.1%
Boston North Shore, 3*, Woburn-Wakefield, Courtyard, 20.7%
Boston North Shore, 3*, Woburn-Wakefield, Sheraton, 36.9%
Boston North Shore, 3*, Woburn-Wakefield, Hilton, 7.2%
Boston North Shore, 3*, Woburn-Wakefield, Marriot, 18.1%
Boston Metro South, 3*, Stoughton-Rockland, Radisson, 34.1%
Boston Metro South, 3*, Stoughton-Rockland, Holiday Inn, 65.9%
Boston North Shore, 2.5*, Woburn-Wakefield, Courtyard, 100.0%
Boston, 3*, South, Courtyard, 100.0%
Boston Metro West, 2*, Newton-Waltham, Homestead Studio Suites, 100.0%
Boston Metro West, 3*, Newton-Waltham, Hilton, 78.2%
Boston Metro West, 3*, Newton-Waltham, Summerfield Suites, 4.3%
Boston Metro West, 3*, Newton-Waltham, Crowne Plaza, 17.5%
Boston Metro West, 2.5*, Newton-Waltham, Hilton, 100.0%
Boston Southeast Suburbs, 2.5*, Raynham-Middleboro, Holiday Inn, 100.0%
Akron , 2*, Fairlawn, Extended StayAmerica, 100.0%
Boulder, 2*, Louisville, Comfort Inn, 100.0%
Boston Southeast Suburbs, 2*, Raynham-Middleboro, Days Inn, 37.8%
Boston Southeast Suburbs, 2*, Raynham-Middleboro, Extended StayAmerica, 62.2%
Budapest, 4*, Pest, Inter-Continental, 81.7%
Budapest, 4*, Pest, Nh Budapest, 18.3%
Calgary, 3.5*, Downtown, Hotel Arts, 11.1%
Calgary, 3.5*, Downtown, Delta Bow Valley, 3.0%
Calgary, 3.5*, Downtown, Marriot, 83.0%
Calgary, 3.5*, Downtown, ???, 2.8%
Brussels, 3*, Airport, Courtyard, 100.0%
Calgary, 2.5*, Downtown, 5 Calgary Downtown Suites, 79.5%
Calgary, 2.5*, Downtown, Five Calgary Downtown Suites, 20.5%
Calgary, 3*, Downtown, Marriot, 100.0%
Calgary, 2.5*, South, Holiday Inn, 100.0%
Burlington - Stowe, 2.5*, Williston, Courtyard, 100.0%
Burlington - Stowe, 2*, Williston, Fairfield Inn, 100.0%
Boston, 2.5*, South, Doubletree, 100.0%
Bologna,Italy, 4*, Central and North, Nh Bologna De La Gare, 50.7%
Bologna,Italy, 4*, Central and North, NH Bologna De La Gare, 49.3%
Zurich, 4*, Central, Crown Plaza, 4.4%
Zurich, 4*, Central, Marriot, 15.7%
Zurich, 4*, Central, Crowne Plaza, 79.9%
Bologna,Italy, 3*, Airport BLQ, Holiday Inn, 100.0%
Boise, 3*, Meridian, Courtyard, 100.0%
Boca Raton, 3.5*, Deerfield West, Marriot, 48.4%
Boca Raton, 3.5*, Deerfield West, Hilton, 51.6%
Boca Raton, 4*, Deerfield West, Renaissance, 100.0%
Boise, 3*, Boise, Doubletree, 100.0%
Boca Raton, 4*, Boca Raton-North DB, Renai, 100.0%
Boise, 3*, Downtown, Red Lion, 100.0%
Boston, 4*, Quincy Market-Faneuil-Financial, Onyx Hotel, 14.2%
Boston, 4*, Quincy Market-Faneuil-Financial, Ames, 7.0%
Boston, 4*, Quincy Market-Faneuil-Financial, Nine Zero Hotel, 7.2%
Boston, 4*, Quincy Market-Faneuil-Financial, Hyatt, 23.4%
Boston, 4*, Quincy Market-Faneuil-Financial, Hilton, 38.5%
Boston, 4*, Quincy Market-Faneuil-Financial, Omni, 9.7%
Boston, 3*, North, Holiday Inn, 100.0%
Boston, 4*, Revere -Logan Airport Bos, Four Points, 9.7%
Boston, 4*, Revere -Logan Airport Bos, Hilton, 71.8%
Boston, 4*, Revere -Logan Airport Bos, Hyatt, 18.5%
Boston, 2.5*, Newton - Waltham, Extended StayAmerica, 100.0%
Boston, 3*, Medford, Holiday Inn, 100.0%
Boston, 3*, Downtown-Harbor Island, Boston Park Plaza, 35.7%
Boston, 3*, Downtown-Harbor Island, Doubletree, 28.7%
Boston, 3*, Downtown-Harbor Island, Holiday Inn, 35.6%
Boston, 4*, Downtown-Harbor Island, Omni, 7.5%
Boston, 4*, Downtown-Harbor Island, Millenium Bostonian, 3.6%
Boston, 4*, Downtown-Harbor Island, Hyatt, 11.9%
Boston, 4*, Downtown-Harbor Island, Fairmont Battery Wharf, 17.1%
Boston, 4*, Downtown-Harbor Island, Inter-Continental Boston Hotel, 49.9%
Boston, 4*, Downtown-Harbor Island, Hilton, 9.9%
Boston, 2*, Medford, Holiday Inn, 100.0%
Boston, 4*, DT-Charlestown, Inter-Continental, 16.8%
Boston, 4*, DT-Charlestown, Hilton, 26.3%
Boston, 4*, DT-Charlestown, Omni, 19.6%
Boston, 4*, DT-Charlestown, Millenium Bostonian, 9.5%
Boston, 4*, DT-Charlestown, Hyatt, 27.8%
Boise, 2.5*, Airport BOI, Springhill Suites, 55.2%
Boise, 2.5*, Airport BOI, Cambria Suites, 44.8%
Boston, 3*, DT-Charlestown, Boston Park Plaza, 36.2%
Boston, 3*, DT-Charlestown, Holiday Inn, 36.5%
Boston, 3*, DT-Charlestown, Doubletree, 27.3%
Boise, 3*, Airport BOI, Holiday Inn, 100.0%
Boston, 3*, Revere -Logan Airport Bos, Embasssy Suites, 9.7%
Boston, 3*, Revere -Logan Airport Bos, Courtyard, 51.5%
Boston, 3*, Revere -Logan Airport Bos, Embassy Suites, 38.8%
Boise, 2*, Airport BOI, Holiday Inn, 61.9%
Boise, 2*, Airport BOI, Super 8 Motel, 38.1%
Boston, 2*, Revere -Logan Airport Bos, Farifield Inn, 20.1%
Boston, 2*, Revere -Logan Airport Bos, Fairfield Inn, 79.9%
Boston, 2.5*, Revere -Logan Airport Bos, Comfort Inn, 31.0%
Boston, 2.5*, Revere -Logan Airport Bos, Hampton Inn, 23.2%
Boston, 2.5*, Revere -Logan Airport Bos, Courtyard, 45.8%
Boston, 3.5*, Quincy Market-Faneuil-Financial, Millennium Bostonia, 13.8%
Boston, 3.5*, Quincy Market-Faneuil-Financial, Marriot, 65.3%
Boston, 3.5*, Quincy Market-Faneuil-Financial, Club Quater, 20.9%
Boston, 3*, Quincy Market-Faneuil-Financial, Marriot, 16.3%
Boston, 3*, Quincy Market-Faneuil-Financial, Bulfinch Hotel, 23.5%
Boston, 3*, Quincy Market-Faneuil-Financial, Holiday Inn, 60.3%
Boca Raton, 3.5*, Boca Raton-North DB, Hilton, 59.6%
Boca Raton, 3.5*, Boca Raton-North DB, Marriot, 40.4%
Boca Raton, 3*, Boca Raton-North DB, Residence Inn, 58.7%
Boca Raton, 3*, Boca Raton-North DB, Wyndham Garden, 17.9%
Boca Raton, 3*, Boca Raton-North DB, Courtyard, 23.4%
Boca Raton, 2.5*, Boca Raton-North DB, Springhill Suites, 100.0%
Boise, 2.5*, Meridian, Hampton Inn, 100.0%
Boca Raton, 2.5*, Deerfield West, Springhill Suites, 100.0%
Boca Raton, 3*, Deerfield West, Courtyard, 32.6%
Boca Raton, 3*, Deerfield West, Residence Inn, 36.4%
Boca Raton, 3*, Deerfield West, Wyndham Garden, 31.0%
Boston, 4*, Copley Plaza, The Back Bay Hotel, 4.4%
Boston, 4*, Copley Plaza, Fairmont Copley Plaza, 5.1%
Boston, 4*, Copley Plaza, Back Bay Hotel, 2.3%
Boston, 4*, Copley Plaza, W Hotel, 9.8%
Boston, 4*, Copley Plaza, Taj Boston, 5.2%
Boston, 4*, Copley Plaza, Sheraton, 10.7%
Boston, 4*, Copley Plaza, Eliot Suite Hotel, 5.1%
Boston, 4*, Copley Plaza, Fairmount Copley Plaza, 5.1%
Boston, 4*, Copley Plaza, Hilton, 4.0%
Boston, 4*, Copley Plaza, Marriot, 8.7%
Boston, 4*, Copley Plaza, Westin, 25.0%
Boston, 4*, Copley Plaza, Copley Square Hotel, 14.6%
Boston, 4*, Copely Square-Theatre District, The Back Bay Hotel, 3.8%
Boston, 4*, Copely Square-Theatre District, Taj Boston, 4.5%
Boston, 4*, Copely Square-Theatre District, W Hotel, 8.5%
Boston, 4*, Copely Square-Theatre District, Sheraton, 3.0%
Boston, 4*, Copely Square-Theatre District, Omni, 12.8%
Boston, 4*, Copely Square-Theatre District, Hyatt, 2.8%
Boston, 4*, Copely Square-Theatre District, Fairmont, 5.5%
Boston, 4*, Copely Square-Theatre District, Inter-Continental, 2.0%
Boston, 4*, Copely Square-Theatre District, Marriot, 6.2%
Boston, 4*, Copely Square-Theatre District, Back Bay Hotel, 2.0%
Boston, 4*, Copely Square-Theatre District, Eliot Suite Hotel, 4.4%
Boston, 4*, Copely Square-Theatre District, Colonnade, 4.2%
Boston, 4*, Copely Square-Theatre District, Copley Square Hotel, 12.5%
Boston, 4*, Copely Square-Theatre District, Hilton, 5.9%
Boston, 4*, Copely Square-Theatre District, Westin, 21.9%
Boston, 4*, Cambridge - Brookline, Hyatt, 17.0%
Boston, 4*, Cambridge - Brookline, Le Meridien Cambridge, 30.8%
Boston, 4*, Cambridge - Brookline, Hotel @ MIT, 22.2%
Boston, 4*, Cambridge - Brookline, Royal Sonesta, 16.5%
Boston, 4*, Cambridge - Brookline, Marriot, 13.5%
Boston North Shore, 3*, Saugus, Sheraton, 100.0%
Boston Metro South, 3.5*, Randolph-Quincy-Braintree, Marriot, 39.6%
Boston Metro South, 3.5*, Randolph-Quincy-Braintree, Sheraton, 60.4%
Boston Metro South, 3.5*, Needham-Dedham, Sheraton, 22.6%
Boston Metro South, 3.5*, Needham-Dedham, Hilton, 77.4%
Boston North Shore, 2*, Saugus, Holiday Inn, 100.0%
Boston North Shore, 3.5*, Danvers-Peabody, Marriot, 100.0%
Boston, 3.5*, Back Bay, Sheraton, 100.0%
Boston Southeast Suburbs, 3*, Plymouth, Radisson, 100.0%
Boston Metro West, 3.5*, Lexington-Concord, Marriot, 50.1%
Boston Metro West, 3.5*, Lexington-Concord, Doubletree, 49.9%
Boston Southeast Suburbs, 2*, Fall River-New Bedford, Comfort Inn, 100.0%
Buffalo, 3*, Grand Island, Holiday Inn, 100.0%
Boulder, 3*, Longmont, Radisson, 52.6%
Boulder, 3*, Longmont, Courtyard, 47.4%
Buffalo, 3*, Downtown-Niagara Falls, Adam Mark Hotel, 2.3%
Buffalo, 3*, Downtown-Niagara Falls, Adams Mark Hotel, 28.3%
Buffalo, 3*, Downtown-Niagara Falls, Four Points, 2.3%
Buffalo, 3*, Downtown-Niagara Falls, Hyatt, 36.4%
Buffalo, 3*, Downtown-Niagara Falls, Crowne Plaza, 23.3%
Buffalo, 3*, Downtown-Niagara Falls, Holiday Inn, 7.4%
Buffalo, 3.5*, Buffalo - Amherst, Marriot, 100.0%
Buffalo, 3*, Dowtown, Adam Mark Hotel, 2.5%
Buffalo, 3*, Dowtown, Holiday Inn, 7.9%
Buffalo, 3*, Dowtown, Hyatt, 59.1%
Buffalo, 3*, Dowtown, Adams Mark, 30.5%
Buffalo, 2.5*, Dowtown, Comfort Suites Downtown, 100.0%
Buffalo, 3*, Buffalo - Amherst, Holiday Inn, 57.6%
Buffalo, 3*, Buffalo - Amherst, Hotel Indigo, 9.1%
Buffalo, 3*, Buffalo - Amherst, Marriot, 33.3%
Buffalo, 2.5*, Buffalo - Amherst, Holiday Inn, 100.0%
Buffalo, 2*, Buffalo - Amherst, Extended StayAmerica, 100.0%
Buffalo, 2.5*, Downtown-Niagara Falls, Comfort Suites, 100.0%
Buffalo, 2*, Downtown-Niagara Falls, Days Inn, 100.0%
Boston Southeast Suburbs, 2.5*, Plymouth, Hilton, 100.0%
Boston Metro West, 2*, Lexington-Concord, Concord Colonial Inn, 100.0%
Boston Metro West, 3*, Lexington-Concord, Aloft, 49.2%
Boston Metro West, 3*, Lexington-Concord, Summerfield Suites, 7.2%
Boston Metro West, 3*, Lexington-Concord, Doubletree, 7.6%
Boston Metro West, 3*, Lexington-Concord, Staybridge Suites, 28.8%
Boston Metro West, 3*, Lexington-Concord, ALoft, 7.2%
Boulder, 2.5*, Longmont, Residence Inn, 29.1%
Boulder, 2.5*, Longmont, Springhill Suites, 42.9%
Boulder, 2.5*, Longmont, Courtyard, 28.0%
Buffalo, 1*, Downtown-Niagara Falls, Super 8, 100.0%
Boston North Shore, 2.5*, Danvers-Peabody, Springhill Suites, 23.4%
Boston North Shore, 2.5*, Danvers-Peabody, Sheraton, 53.6%
Boston North Shore, 2.5*, Danvers-Peabody, Comfort Inn, 23.0%
Boston North Shore, 3*, Danvers-Peabody, Marriot, 28.4%
Boston North Shore, 3*, Danvers-Peabody, Sheraton, 14.8%
Boston North Shore, 3*, Danvers-Peabody, Crowne Plaza, 33.8%
Boston North Shore, 3*, Danvers-Peabody, Courtyard, 23.0%
Boston North Shore, 2*, Danvers-Peabody, Hampton Inn, 33.5%
Boston North Shore, 2*, Danvers-Peabody, Extended StayAmerica, 66.5%
Boston Metro South, 3*, Randolph-Quincy-Braintree, Marriot, 100.0%
Boston Metro South, 3*, Needham-Dedham, Hilton, 100.0%
Boston Metro South, 2*, Randolph-Quincy-Braintree, ExtendedStay America, 100.0%
Boston Metro West, 3*, Natick-Framingham, Residence Inn, 31.2%
Boston Metro West, 3*, Natick-Framingham, Sheraton, 32.8%
Boston Metro West, 3*, Natick-Framingham, Courtyard, 36.0%
Boston, 3.5*, Boston Waterfront - Convention Center, Renaissance, 100.0%
Boston Metro West, 2.5*, Natick-Framingham, Residence Inn, 100.0%
Boston, 3*, Boston Waterfront - Convention Center, Renaissance, 100.0%
Boston, 3.5*, Cambridge - Brookline, Marriot, 25.4%
Boston, 3.5*, Cambridge - Brookline, Doubletree, 40.9%
Boston, 3.5*, Cambridge - Brookline, Hyatt, 33.7%
Boston, 3*, Cambridge - Brookline, Residence Inn, 18.7%
Boston, 3*, Cambridge - Brookline, Holiday Inn, 4.7%
Boston, 3*, Cambridge - Brookline, Courtyard, 28.5%
Boston, 3*, Cambridge - Brookline, Doubletree, 15.0%
Boston, 3*, Cambridge - Brookline, Hyatt, 26.7%
Boston, 3*, Cambridge - Brookline, Marriot, 6.4%
Boston, 2.5*, Cambridge - Brookline, Holiday Inn, 46.2%
Boston, 2.5*, Cambridge - Brookline, Best Western, 46.6%
Boston, 2.5*, Cambridge - Brookline, Courtyard, 7.1%
Boston, 2*, Cambridge - Brookline, Best Western, 100.0%
Boston, 3.5*, Copely Square-Theatre District, Marriot, 68.5%
Boston, 3.5*, Copely Square-Theatre District, Sheraton, 18.5%
Boston, 3.5*, Copely Square-Theatre District, Hilton, 13.0%
Boston, 3*, Copely Square-Theatre District, Holiday Inn, 2.3%
Boston, 3*, Copely Square-Theatre District, Boston Park Plaza, 2.4%
Boston, 3*, Copely Square-Theatre District, Doubletree, 47.3%
Boston, 3*, Copely Square-Theatre District, Radisson, 12.4%
Boston, 3*, Copely Square-Theatre District, Hilton, 6.6%
Boston, 3*, Copely Square-Theatre District, Courtyard, 29.0%
Boston, 2.5*, Copely Square-Theatre District, Courtyard, 100.0%
Boston, 3.5*, Copley Plaza, Sheraton, 28.9%
Boston, 3.5*, Copley Plaza, Hilton, 11.9%
Boston, 3.5*, Copley Plaza, Marriot, 59.2%
Boston, 3*, Copley Plaza, Boston Park Plaza, 2.0%
Boston, 3*, Copley Plaza, Doubletree, 40.5%
Boston, 3*, Copley Plaza, Radisson, 9.3%
Boston, 3*, Copley Plaza, Hilton, 10.9%
Boston, 3*, Copley Plaza, Copley Square, 11.2%
Boston, 3*, Copley Plaza, Courtyard, 26.1%
Boston, 2.5*, Copley Plaza, Courtyard, 100.0%
Boston, 4*, Boston Waterfront - Convention Center, Inter-Continental, 2.6%
Boston, 4*, Boston Waterfront - Convention Center, Westin, 9.6%
Boston, 4*, Boston Waterfront - Convention Center, Seaport Hotel, 5.7%
Boston, 4*, Boston Waterfront - Convention Center, Renaissance, 82.1%
Buffalo, 3*, Airport BUF, Holiday Inn, 22.5%
Buffalo, 3*, Airport BUF, Millennium, 77.5%
Branson, 2*, West, Howard Johnson, 100.0%
Cancun, 4*, South, Hilton, 100.0%
Branson, 3*, East, Radisson, 100.0%
Akron , 2.5*, Aurora - Streetsboro, Fairfield Inn, 35.2%
Akron , 2.5*, Aurora - Streetsboro, Windgate by Wyndham, 16.6%
Akron , 2.5*, Aurora - Streetsboro, Wingate by Wyndham, 48.2%
Branson, 2*, East, Ramada, 68.0%
Branson, 2*, East, Grand Oaks Hotel, 32.0%
Akron , 2.5*, Canton, Courtyard, 50.9%
Akron , 2.5*, Canton, Hilton, 49.1%
Cancun, 4*, Souht Hotel Zone, Hyatt, 100.0%
Cancun, 4*, Downtown &amp; Beaches, Bel Air Collection, 100.0%
Burlington - Stowe, 4*, Essex Junction, Essex Resort and Spa, 34.1%
Burlington - Stowe, 4*, Essex Junction, Inn at Essex Junction, 65.9%
Calgary, 3*, Calgary South, Glenmore Inn and Convention Centre, 100.0%
Burlington - Stowe, 3*, Waterbury-Stowe, Golden Eagle Resort, 100.0%
Calgary, 3*, Airport, Holiday Inn, 9.6%
Calgary, 3*, Airport, Radisson, 90.4%
Burlington - Stowe, 2*, Colchester, Quality Inn, 42.6%
Burlington - Stowe, 2*, Colchester, Hampton Inn, 57.4%
Burlington - Stowe, 3*, Burlington, Doubletree, 7.4%
Burlington - Stowe, 3*, Burlington, Courtyard, 12.4%
Burlington - Stowe, 3*, Burlington, Sheraton, 28.9%
Burlington - Stowe, 3*, Burlington, Holiday Inn, 32.5%
Burlington - Stowe, 3*, Burlington, Wyndham, 7.2%
Burlington - Stowe, 3*, Burlington, Residence Inn, 11.6%
Burlington - Stowe, 2*, Burlington, Fairfield Inn, 100.0%
Burlington - Stowe, 2.5*, Burlington, Holiday Inn, 16.0%
Burlington - Stowe, 2.5*, Burlington, La Quinta, 52.5%
Burlington - Stowe, 2.5*, Burlington, Courtyard, 31.6%
Calgary, 2.5*, Airport, Acclaim, 100.0%
Calgary, 1*, Airport, Travelodge, 100.0%
Cancun, 2.5*, Downtown &amp; Beaches, Hotel Cozumel, 100.0%
Buffalo, 2.5*, Airport BUF, Holiday Inn, 23.8%
Buffalo, 2.5*, Airport BUF, Days Inn, 76.2%
Buffalo, 2*, Airport BUF, Days Inn, 32.9%
Buffalo, 2*, Airport BUF, Quality Inn, 33.8%
Buffalo, 2*, Airport BUF, Holiday Inn, 33.3%
Yosemite, 2*, Oakhurst, Comfort Inn, 11.3%
Yosemite, 2*, Oakhurst, Shilo Inn, 88.7%
Yellowstone Park-Bozeman, 2*, West Yellowstone, Days Inn, 100.0%
Yosemite, 3*, Mammoth Lakes, Mammoth Lakes Inn, 100.0%
Worcester, 3*, Sturbridge, Sturbridge Host Hotel And Conference Center, 100.0%
Yosemite, 1*, Mammoth Lakes, Travelodge, 100.0%
Worcester, 3*, Worcester, Residence Inn, 17.6%
Worcester, 3*, Worcester, Crowne Plaza, 25.9%
Worcester, 3*, Worcester, Courtyard, 56.5%
Yosemite, 2*, Mariposa, Comfort Inn, 100.0%
Worcester, 3*, Auburn, Crowne Plaza, 100.0%
Yellowstone Park-Bozeman, 3*, Bozeman, Holiday Inn, 100.0%
Worcester, 2.5*, Worcester, Courtyard, 21.4%
Worcester, 2.5*, Worcester, Residence Inn, 78.6%
Yellowstone Park-Bozeman, 2.5*, Bozeman, Holiday Inn, 50.8%
Yellowstone Park-Bozeman, 2.5*, Bozeman, La Quinta, 49.2%
Worcester, 2*, Worcester, Quality Inn, 100.0%
Worcester, 2*, Auburn, La Quinta, 100.0%
Winston Salem, 3*, West, Marriot, 100.0%
Winston Salem, 3*, North, Holiday Inn, 100.0%
Winnipeg, 3*, South, Four Points, 46.2%
Winnipeg, 3*, South, Holiday Inn, 53.8%
Winnipeg, 2*, Airport, Comfort Inn, 100.0%
Wilmington, 3.5*, Wlmngtn-Brandywine, Doubletree, 63.1%
Wilmington, 3.5*, Wlmngtn-Brandywine, Sheraton, 36.9%
Wilmington, 3*, Wrightsville Beach, Holiday Inn, 26.1%
Wilmington, 3*, Wrightsville Beach, Blockade Runner, 29.0%
Wilmington, 3*, Wrightsville Beach, Courtyard, 44.9%
Wilmington, 3*, Newark-Christiana, Courtyard, 28.3%
Wilmington, 3*, Newark-Christiana, Residence Inn, 6.3%
Wilmington, 3*, Newark-Christiana, Hilton, 65.4%
Wilmington, 3*, East, Marriot, 100.0%
Williamsburg, 3*, Colonial-Busch Gardens, Marriot, 27.7%
Williamsburg, 3*, Colonial-Busch Gardens, Courtyard, 33.9%
Williamsburg, 3*, Colonial-Busch Gardens, Crowne Plaza, 38.4%
White Plains, 3*, Tarrytown-Elmsford, Courtyard, 100.0%
Williamsburg, 2.5*, Colonial-Busch Gardens, Clarion Hotel, 100.0%
Westchester County, 3.5*, Rye-White Plains, Renaissance, 45.7%
Westchester County, 3.5*, Rye-White Plains, Hilton, 54.3%
Westborough-Marlborough, 3*, Westborough, Courtyard, 100.0%
Wausau, 3*, Rothschield, Holiday Inn, 100.0%
Washington DC, 4*, White House - Downtown, St Gregory Hotel, 7.6%
Washington DC, 4*, White House - Downtown, Sofitel, 7.2%
Washington DC, 4*, White House - Downtown, Madison Loews, 1.7%
Washington DC, 4*, White House - Downtown, REJECTED. HELP !, 1.4%
Washington DC, 4*, White House - Downtown, Renaissance, 61.1%
Washington DC, 4*, White House - Downtown, Loews Madison, 1.1%
Washington DC, 4*, White House - Downtown, Hilton, 7.8%
Washington DC, 4*, White House - Downtown, Lowes, 1.9%
Washington DC, 4*, White House - Downtown, The Madison Loews, 2.0%
Washington DC, 4*, White House - Downtown, JW Marriot, 8.1%
Wenatchee-Yakima, 2*, Yakima, Clarion Hotel, 100.0%
Vienna, 4*, West, Renaissance, 82.3%
Vienna, 4*, West, Mercure Wien Europaplatz, 17.7%
Virginia Beach, 3*, Beach Area, Holiday Inn, 29.9%
Virginia Beach, 3*, Beach Area, Doubletree, 70.1%
Virginia Beach, 3.5*, Airport Norfolk ORF, Sheraton, 60.3%
Virginia Beach, 3.5*, Airport Norfolk ORF, Marriot, 39.7%
Virginia Beach, 3.5*, Portsmouth, Renaissance, 100.0%
Vienna, 5*, City Centre, Inter-Continental Vienna, 28.0%
Vienna, 5*, City Centre, Marriot, 40.6%
Vienna, 5*, City Centre, Hilton, 31.3%
Virginia Beach, 3.5*, Area, Sheraton, 100.0%
Vienna, 4*, City Centre, Le Meridien Vienna, 35.0%
Vienna, 4*, City Centre, Marriot, 43.1%
Vienna, 4*, City Centre, Mercure Wien Europaplatz, 21.9%
Virginia Beach, 3*, Area, Doubletree, 22.8%
Virginia Beach, 3*, Area, Courtyard, 47.2%
Virginia Beach, 3*, Area, Wyndham, 12.3%
Virginia Beach, 3*, Area, Holiday Inn, 10.9%
Virginia Beach, 3*, Area, Wydham Virginia Beach Oceanfront, 6.9%
Vienna, 4*, South, Renaissance, 100.0%
Virginia Beach, 2.5*, Area, Country Inn and Suites Oceanfront, 33.1%
Virginia Beach, 2.5*, Area, La Quinta, 66.9%
Washington DC, 2.5*, Suburbs-Northeast, Fairfield Inn, 100.0%
Washington DC, 2*, Suburbs-Northeast, Fairfield Inn, 100.0%
Virginia Beach, 2*, Area, La Quinta, 50.0%
Virginia Beach, 2*, Area, Fairfield Inn, 50.0%
Virginia Beach, 2.5*, Airport Norfolk ORF, Courtyard, 29.3%
Virginia Beach, 2.5*, Airport Norfolk ORF, Radisson, 70.7%
Virginia Beach, 3*, Airport Norfolk ORF, Holliday Inn Executive Center, 5.5%
Virginia Beach, 3*, Airport Norfolk ORF, Crowne Plaza, 26.6%
Virginia Beach, 3*, Airport Norfolk ORF, Holiday Inn, 10.7%
Virginia Beach, 3*, Airport Norfolk ORF, Courtyard, 15.0%
Virginia Beach, 3*, Airport Norfolk ORF, Hilton, 28.7%
Virginia Beach, 3*, Airport Norfolk ORF, Residence Inn, 13.5%
Virginia Beach, 3*, Portsmouth, Renaissance, 100.0%
Virginia Beach, 2*, Airport Norfolk ORF, La Quinta, 100.0%
Vienna, 3*, West, NH Wien, 100.0%
Washington DC, 3.5*, White House - Downtown, Doubletree, 35.1%
Washington DC, 3.5*, White House - Downtown, Westin, 20.8%
Washington DC, 3.5*, White House - Downtown, Crowne Plaza, 25.0%
Washington DC, 3.5*, White House - Downtown, Hotel Rouge, 19.1%
Washington DC, 2.5*, White House - Downtown, Residence Inn, 100.0%
Washington DC, 3*, White House - Downtown, Hilton, 9.4%
Washington DC, 3*, White House - Downtown, Courtyard, 12.3%
Washington DC, 3*, White House - Downtown, Club Quarters, 5.4%
Washington DC, 3*, White House - Downtown, Four Points, 18.8%
