 North York - Vaughan| North York, 3.0

 Downtown - SoHo - Financial District| New York City, 3.5

 Washington Ave| Houston, 2.0
4:45:00, 50.00 ,  57.00 , 2011-01-14 20:48:00 , 2011-01-15 01:33:00

 Downtown - SoHo - Financial District| New York City, 3.0

 Calgary Intl Airport YYC| Calgary, 3.5

 Burr Ridge - Hinsdale - Willowbrook| Darien, 3.5

 Downtown Toronto West| Toronto, 3.0

 Lombard - Oak Brook - Downers Grove| Oak Brook, 3.0

 Lester B. Pearson Intl Airport YYZ| Etobicoke, 2.5
1:45:00 ,  43.00 ,  45.00 , 2011-01-14 20:48:00 , 2011-01-14 22:33:00,Recommandation changed:90||85,,,
0:30:00 ,  45.00 ,  43.00 , 2011-01-14 22:33:00 , 2011-01-14 23:03:00,Recommandation changed:85||90,,,
0:30:00 ,  43.00 ,  45.00 , 2011-01-14 23:03:00 , 2011-01-14 23:33:00,Recommandation changed:90||85,,,
0:30:00 ,  45.00 ,  43.00 , 2011-01-14 23:33:00 , 2011-01-15 00:03:00,Recommandation changed:85||90,,,

 Empire State Building| New York City, 3.5

 Lombard - Oak Brook - Downers Grove| Oak Brook, 3.5

 Houston West - Energy Corridor| Spring Valley, 4.0

 Empire State Building| New York City, 3.0

 Lester B. Pearson Intl Airport YYZ| Etobicoke, 2.0
4:15:00 ,  56.00 ,  60.00 , 2011-01-14 20:48:00 , 2011-01-15 01:03:00,Recommandation changed:||40,Tripadvisor rating changed:3.5||2.5,'laundry facilities',
0:30:00, 60.00 ,  65.00 , 2011-01-15 01:03:00 , 2011-01-15 01:33:00

 Calgary South| Calgary, 2.5

 Willowbrook - Cypress Station| North Houston, 2.5
0:15:00 ,  59.00 ,  55.00 , 2011-01-14 20:48:00 , 2011-01-14 21:03:00,Recommandation changed:95||100,,,
0:30:00 ,  55.00 ,  59.00 , 2011-01-14 21:03:00 , 2011-01-14 21:33:00,Recommandation changed:100||95,,,
1:00:00 ,  59.00 ,  55.00 , 2011-01-14 21:33:00 , 2011-01-14 22:33:00,Recommandation changed:95||100,,,
0:30:00 ,  55.00 ,  59.00 , 2011-01-14 22:33:00 , 2011-01-14 23:03:00,Recommandation changed:100||95,,,
0:30:00 ,  59.00 ,  55.00 , 2011-01-14 23:03:00 , 2011-01-14 23:33:00,Recommandation changed:95||100,,,

 Willowbrook - Cypress Station| North Houston, 2.0
2:15:00, 30.00 ,  33.00 , 2011-01-14 20:48:00 , 2011-01-14 23:03:00
0:30:00, 33.00 ,  30.00 , 2011-01-14 23:03:00 , 2011-01-14 23:33:00
1:30:00, 30.00 ,  33.00 , 2011-01-14 23:33:00 , 2011-01-15 01:03:00
0:30:00, 33.00 ,  30.00 , 2011-01-15 01:03:00 , 2011-01-15 01:33:00

 Downtown Vancouver South| Vancouver, 2.5

 Pearland| Pearland, 2.5

 Logan Intl Airport BOS - Saugus| Revere, 4.0

 Arlington Heights - Elk Grove Village| Itasca, 3.0
0:15:00 ,  51.00 ,  45.00 , 2011-01-14 20:48:00 , 2011-01-14 21:03:00,Recommandation changed:90||55,,,
1:00:00 ,  45.00 ,  51.00 , 2011-01-14 21:03:00 , 2011-01-14 22:03:00,Recommandation changed:55||90,,,
0:30:00 ,  51.00 ,  45.00 , 2011-01-14 22:03:00 , 2011-01-14 22:33:00,Recommandation changed:90||55,,,

 SW Houston - Sugar Land| Sugar Land, 1.0

 O'Hare Intl Airport ORD North| Chicago, 2.0

 Lake View - Lincoln Park - Wrigleyville| Chicago, 2.0

 Quincy Market - Financial District| Boston, 4.5
0:15:00 ,  179.00 ,  178.00 , 2011-01-14 20:48:00 , 2011-01-14 21:03:00,Recommandation changed:90||95,,,
0:30:00 ,  178.00 ,  179.00 , 2011-01-14 21:03:00 , 2011-01-14 21:33:00,Recommandation changed:95||90,,,
2:30:00 ,  179.00 ,  178.00 , 2011-01-14 21:33:00 , 2011-01-15 00:03:00,Recommandation changed:90||95,,,

 Back Bay - Copley Square| Boston, 2.5

 Quincy Market - Financial District| Boston, 4.0

 NW Houston - Brookhollow| Spring Valley, 3.0

 Channelview| Channelview, 3.0

 SW Houston - Sugar Land| Sugar Land, 3.0

 Century City - Westwood| Century City, 2.5

 Burnaby - Coquitlam| Burnaby, 3.0
0:45:00, 64.00 ,  62.00 , 2011-01-14 20:48:00 , 2011-01-14 21:33:00
1:00:00, 62.00 ,  64.00 , 2011-01-14 21:33:00 , 2011-01-14 22:33:00
0:30:00, 64.00 ,  62.00 , 2011-01-14 22:33:00 , 2011-01-14 23:03:00
0:30:00, 62.00 ,  64.00 , 2011-01-14 23:03:00 , 2011-01-14 23:33:00
1:01:00, 64.00 ,  62.00 , 2011-01-14 23:33:00 , 2011-01-15 00:34:00

 SW Houston - Sugar Land| Sugar Land, 3.5

 League City - Dickinson| League City, 2.0

 Evanston - Skokie - Niles| Skokie, 2.5

 Richmond - Vancouver Intl Airport YVR| Richmond, 3.5

 Oak Lawn - Midway Airport MDW| Oak Lawn, 2.0
1:15:00 ,  47.00 ,  53.00 , 2011-01-14 20:48:00 , 2011-01-14 22:03:00,Recommandation changed:60||70,,,
0:30:00 ,  53.00 ,  47.00 , 2011-01-14 22:03:00 , 2011-01-14 22:33:00,Recommandation changed:70||60,,,
2:30:00 ,  47.00 ,  53.00 , 2011-01-14 22:33:00 , 2011-01-15 01:03:00,Recommandation changed:60||70,Tripadvisor rating changed:4.5||,' airport shuttle'| 'complimentary breakfast'| 'fitness center'| 'business center'| 'high-speed internet access',

 Oak Lawn - Midway Airport MDW| Oak Lawn, 3.0

 Lansing - Calumet City| Lansing, 2.0
0:15:00 ,  38.00 ,  39.00 , 2011-01-14 20:48:00 , 2011-01-14 21:03:00,Recommandation changed:60||,,,
0:30:00 ,  39.00 ,  38.00 , 2011-01-14 21:03:00 , 2011-01-14 21:33:00,Recommandation changed:||60,,,
1:30:00 ,  38.00 ,  39.00 , 2011-01-14 21:33:00 , 2011-01-14 23:03:00,Recommandation changed:60||,,,
0:30:00 ,  39.00 ,  38.00 , 2011-01-14 23:03:00 , 2011-01-14 23:33:00,Recommandation changed:||60,,,
0:30:00 ,  38.00 ,  39.00 , 2011-01-14 23:33:00 , 2011-01-15 00:03:00,Recommandation changed:60||,,,

 Quincy Market - Financial District| Boston, 3.5
4:15:00 ,  108.00 ,  125.00 , 2011-01-14 20:48:00 , 2011-01-15 01:03:00,Recommandation changed:90||95,,' smoke free rooms',

 Downtown Ottawa| Ottawa, 3.0

 East Houston - Cloverleaf| Jacinto City, 2.0

 Ottawa West| Kanata, 3.0

 East Houston - Cloverleaf| Jacinto City, 2.5

 O'Hare Intl Airport ORD South| Schiller Park, 4.5

 John F. Kennedy Intl Airport JFK - Jamaica| John F Kennedy Airport, 3.5

 Houston West - Energy Corridor| Spring Valley, 1.0

 Back Bay - Copley Square| Boston, 4.0
3:15:00 ,  119.00 ,  147.00 , 2011-01-14 20:48:00 , 2011-01-15 00:03:00,,Tripadvisor rating changed:||4.0,' smoke free rooms'| 'fitness center'| 'business center',

 Downtown Toronto West| Toronto, 3.5

 LA Intl Airport LAX| Westchester, 3.0
5:15:00 ,  48.00 ,  60.00 , 2011-01-14 20:48:00 , 2011-01-15 02:03:00,Recommandation changed:45||85,,' smoke free rooms'| 'airport shuttle'| 'fitness center',

 Hawthorne| Hawthorne, 2.0

 LA Intl Airport LAX| Westchester, 3.5

 Arlington Heights - Elk Grove Village| Itasca, 3.5

 Hawthorne| Hawthorne, 2.5

 Bridgeview| Bridgeview, 2.0

 O'Hare Intl Airport ORD North| Chicago, 4.0

 Ottawa East| Vanier, 3.0

 Newark Intl Airport EWR| Elizabeth, 2.5
4:15:00 ,  59.00 ,  63.00 , 2011-01-14 20:48:00 , 2011-01-15 01:03:00,Recommandation changed:||95,,'restaurant(s)',

 O'Hare Intl Airport ORD North| Chicago, 3.0

 Downtown Houston| Houston, 4.0
2:45:00 ,  94.00 ,  66.00 , 2011-01-14 20:48:00 , 2011-01-14 23:33:00,Recommandation changed:80||95,,' boutique hotel'| 'fitness center',

 Richmond - Vancouver Intl Airport YVR| Richmond, 2.0

 Museum Campus - McCormick Place - Soldier Field| Chicago, 4.0
0:15:00, 80.00 ,  76.00 , 2011-01-14 20:48:00 , 2011-01-14 21:03:00
0:30:00, 76.00 ,  80.00 , 2011-01-14 21:03:00 , 2011-01-14 21:33:00
0:30:00, 80.00 ,  76.00 , 2011-01-14 21:33:00 , 2011-01-14 22:03:00
0:30:00, 76.00 ,  80.00 , 2011-01-14 22:03:00 , 2011-01-14 22:33:00

 Downtown Ottawa| Ottawa, 3.5

 Clear Lake - NASA Space Center - Kemah| Nassau Bay, 3.0

 Times Square - Theatre District| New York City, 4.0

 Glendale - Burbank - Universal City| Burbank, 4.0

 Hollywood| Hollywood, 4.0

 North Michigan Avenue - Water Tower - Gold Coast| Chicago, 3.5
4:45:00 ,  60.00 ,  63.00 , 2011-01-14 20:48:00 , 2011-01-15 01:33:00,Recommandation changed:90||85,Tripadvisor rating changed:3.5||,,

 Aldine - Bush Ictl Airport IAH| Humble, 2.5
0:15:00 ,  39.00 ,  44.00 , 2011-01-14 20:48:00 , 2011-01-14 21:03:00,Recommandation changed:85||,,,
0:30:00 ,  44.00 ,  39.00 , 2011-01-14 21:03:00 , 2011-01-14 21:33:00,Recommandation changed:||85,,,
2:00:00 ,  39.00 ,  44.00 , 2011-01-14 21:33:00 , 2011-01-14 23:33:00,Recommandation changed:85||,,,
1:01:00 ,  44.00 ,  39.00 , 2011-01-14 23:33:00 , 2011-01-15 00:34:00,Recommandation changed:||85,,,
1:29:00 ,  39.00 ,  44.00 , 2011-01-15 00:34:00 , 2011-01-15 02:03:00,Recommandation changed:85||,,,

 North Vancouver| North Vancouver, 3.0

 Aldine - Bush Ictl Airport IAH| Humble, 2.0
0:15:00, 30.00 ,  34.00 , 2011-01-14 20:48:00 , 2011-01-14 21:03:00
0:30:00, 34.00 ,  30.00 , 2011-01-14 21:03:00 , 2011-01-14 21:33:00
1:30:00, 30.00 ,  34.00 , 2011-01-14 21:33:00 , 2011-01-14 23:03:00
0:30:00, 34.00 ,  30.00 , 2011-01-14 23:03:00 , 2011-01-14 23:33:00
0:30:00, 30.00 ,  34.00 , 2011-01-14 23:33:00 , 2011-01-15 00:03:00
0:31:00, 34.00 ,  30.00 , 2011-01-15 00:03:00 , 2011-01-15 00:34:00
0:29:00, 30.00 ,  34.00 , 2011-01-15 00:34:00 , 2011-01-15 01:03:00
0:30:00, 34.00 ,  30.00 , 2011-01-15 01:03:00 , 2011-01-15 01:33:00

 Northbrook| Northbrook, 4.0

 Culver City| Culver City, 2.0

 North Vancouver| North Vancouver, 2.0

 Downtown - SoHo - Financial District| New York City, 2.0
4:45:00 ,  68.00 ,  75.00 , 2011-01-14 20:48:00 , 2011-01-15 01:33:00,Recommandation changed:65||,Tripadvisor rating changed:3.5||4.5,' business center',

 Anchorage Intl Airport ANC| Anchorage, 2.0

 Downtown Toronto West| Toronto, 4.0
0:45:00 ,  99.00 ,  94.00 , 2011-01-14 20:48:00 , 2011-01-14 21:33:00,Recommandation changed:90||95,,,

 Watertown| Watertown, 2.0

 Empire State Building| New York City, 4.0

 Calgary South| Calgary, 2.0

 North York - Vaughan| North York, 2.5

 Boston Common - Theatre District| Boston, 4.0
4:15:00 ,  109.00 ,  117.00 , 2011-01-14 20:48:00 , 2011-01-15 01:03:00,Recommandation changed:95||90,Tripadvisor rating changed:4.5||3.5,' boutique hotel'| 'smoke free rooms',

 LA Intl Airport LAX| Westchester, 1.0

 Magnificent Mile Area - Streeterville| Chicago, 4.5
2:15:00 ,  82.00 ,  87.00 , 2011-01-14 20:48:00 , 2011-01-14 23:03:00,Recommandation changed:95||90,,' fitness center',
2:00:00 ,  87.00 ,  89.00 , 2011-01-14 23:03:00 , 2011-01-15 01:03:00,Recommandation changed:90||95,,'laundry facilities'| 'spa services',

 Boston Common - Theatre District| Boston, 4.5

 North York - Vaughan| North York, 2.0

 Hollywood| Hollywood, 1.0

 Northwest Calgary| Calgary, 2.5

 O'Hare Intl Airport ORD North| Chicago, 3.5

 El Monte - Rosemead - Monterey Park| Rosemead, 2.5

 Lester B. Pearson Intl Airport YYZ| Etobicoke, 3.0
4:45:00 ,  50.00 ,  61.00 , 2011-01-14 20:48:00 , 2011-01-15 01:33:00,Recommandation changed:60||75,Tripadvisor rating changed:||3.0,' airport shuttle',

 North Michigan Avenue - Water Tower - Gold Coast| Chicago, 3.0

 Huntington Park - South Gate| Huntington Park, 2.0

 Downtown Toronto West| Toronto, 2.0

 Lester B. Pearson Intl Airport YYZ| Etobicoke, 3.5

 Northbrook| Northbrook, 2.0
0:15:00 ,  28.00 ,  26.00 , 2011-01-14 20:48:00 , 2011-01-14 21:03:00,Recommandation changed:75||85,,,
2:00:00 ,  26.00 ,  28.00 , 2011-01-14 21:03:00 , 2011-01-14 23:03:00,Recommandation changed:85||75,,,

 Willowbrook - Cypress Station| North Houston, 3.0

 Houston Hobby Airport HOU| South Houston, 3.0
0:15:00, 52.00 ,  53.00 , 2011-01-14 20:48:00 , 2011-01-14 21:03:00
0:30:00 ,  53.00 ,  52.00 , 2011-01-14 21:03:00 , 2011-01-14 21:33:00,,,'high-speed internet access',
0:30:00 ,  52.00 ,  54.00 , 2011-01-14 21:33:00 , 2011-01-14 22:03:00,Recommandation changed:65||90,,,
0:30:00 ,  54.00 ,  52.00 , 2011-01-14 22:03:00 , 2011-01-14 22:33:00,Recommandation changed:90||65,,,
2:01:00, 52.00 ,  53.00 , 2011-01-14 22:33:00 , 2011-01-15 00:34:00
0:29:00, 53.00 ,  52.00 , 2011-01-15 00:34:00 , 2011-01-15 01:03:00
1:00:00, 52.00 ,  53.00 , 2011-01-15 01:03:00 , 2011-01-15 02:03:00

 Alsip| Alsip, 2.0

 Northbrook| Northbrook, 2.5

 Glendale - Burbank - Universal City| Burbank, 2.0

 Downtown Ottawa| Ottawa, 2.5
4:45:00 ,  50.00 ,  87.00 , 2011-01-14 20:48:00 , 2011-01-15 01:33:00,Recommandation changed:80||90,,' fitness center'| 'restaurant(s)'| 'laundry facilities',

 Pearland| Pearland, 3.0

 Museum Campus - McCormick Place - Soldier Field| Chicago, 2.0

 Houston West - Energy Corridor| Spring Valley, 3.5
1:45:00 ,  54.00 ,  58.00 , 2011-01-14 20:48:00 , 2011-01-14 22:33:00,Recommandation changed:95||90,,,
0:30:00 ,  58.00 ,  54.00 , 2011-01-14 22:33:00 , 2011-01-14 23:03:00,Recommandation changed:90||95,,,
2:30:00 ,  54.00 ,  58.00 , 2011-01-14 23:03:00 , 2011-01-15 01:33:00,Recommandation changed:95||90,,,
0:30:00 ,  58.00 ,  54.00 , 2011-01-15 01:33:00 , 2011-01-15 02:03:00,Recommandation changed:90||95,,,

 Downtown Ottawa| Ottawa, 2.0

 Houston West - Energy Corridor| Spring Valley, 3.0

 Midtown Central| New York City, 2.0

 Lester B. Pearson Intl Airport YYZ| Etobicoke, 4.0

 Richmond - Vancouver Intl Airport YVR| Richmond, 2.5
2:15:00 ,  48.00 ,  53.00 , 2011-01-14 20:48:00 , 2011-01-14 23:03:00,Recommandation changed:||55,,,
1:00:00 ,  53.00 ,  48.00 , 2011-01-14 23:03:00 , 2011-01-15 00:03:00,Recommandation changed:55||,,,
1:00:00 ,  48.00 ,  55.00 , 2011-01-15 00:03:00 , 2011-01-15 01:03:00,Recommandation changed:90||55,Tripadvisor rating changed:3.5||,'fitness center'| 'restaurant(s)'| 'high-speed internet access',

 Hollywood| Hollywood, 2.0
0:15:00, 45.00 ,  47.00 , 2011-01-14 20:48:00 , 2011-01-14 21:03:00

 Beverly Hills - West Hollywood| Beverly Hills, 3.5

 Lombard - Oak Brook - Downers Grove| Oak Brook, 2.5

 Midtown East| New York City, 3.5

 Midtown East| New York City, 3.0

 Boston Common - Theatre District| Boston, 3.0

 Mid-Wilshire - Westlake - USC| Los Angeles, 2.5

 LaGuardia Airport LGA - Flushing| Corona, 3.0
4:45:00 ,  81.00 ,  89.00 , 2011-01-14 20:48:00 , 2011-01-15 01:33:00,Recommandation changed:90||75,Tripadvisor rating changed:3.0||3.5,'laundry facilities',

 Midtown East| New York City, 4.0

 Downtown Calgary| Calgary, 2.0
0:15:00, 178.00 ,  177.00 , 2011-01-14 20:48:00 , 2011-01-14 21:03:00

 SW Houston - Sugar Land| Sugar Land, 2.5

 Northwest Calgary| Calgary, 3.0

 SW Houston - Sugar Land| Sugar Land, 2.0
2:15:00 ,  34.00 ,  39.00 , 2011-01-14 20:48:00 , 2011-01-14 23:03:00,Recommandation changed:||85,,,
1:00:00 ,  39.00 ,  34.00 , 2011-01-14 23:03:00 , 2011-01-15 00:03:00,Recommandation changed:85||,,,
0:31:00 ,  34.00 ,  39.00 , 2011-01-15 00:03:00 , 2011-01-15 00:34:00,Recommandation changed:||85,,,
0:29:00 ,  39.00 ,  34.00 , 2011-01-15 00:34:00 , 2011-01-15 01:03:00,Recommandation changed:85||,,,

 O'Hare Intl Airport ORD South| Schiller Park, 2.0

 Ottawa West| Kanata, 2.0

 Burnaby - Coquitlam| Burnaby, 4.0

 Anchorage Intl Airport ANC| Anchorage, 3.0

 Beverly Hills - West Hollywood| Beverly Hills, 3.0
4:45:00 ,  122.00 ,  131.00 , 2011-01-14 20:48:00 , 2011-01-15 01:33:00,Recommandation changed:65||60,Tripadvisor rating changed:3.5||,' boutique hotel'| 'fitness center'| 'pool(s)',

 Houston Galleria| West University Place, 2.0
0:15:00 ,  41.00 ,  36.00 , 2011-01-14 20:48:00 , 2011-01-14 21:03:00,Recommandation changed:75||,,,
5:00:00 ,  36.00 ,  41.00 , 2011-01-14 21:03:00 , 2011-01-15 02:03:00,Recommandation changed:100||75,,,

 East Houston - Cloverleaf| Jacinto City, 3.0

 Downtown Toronto East| Toronto, 3.5

 Pasadena| Pasadena, 2.0

 John F. Kennedy Intl Airport JFK - Jamaica| John F Kennedy Airport, 2.0

 Century City - Westwood| Century City, 3.5

 Downey - Commerce - Norwalk| Downey, 3.0

 John F. Kennedy Intl Airport JFK - Jamaica| John F Kennedy Airport, 2.5

 Pasadena| Pasadena, 2.5

 Calgary Intl Airport YYC| Calgary, 2.0

 Downtown Anchorage| Anchorage, 2.0

 LA Intl Airport LAX| Westchester, 2.5

 Don Valley| North York, 3.0
4:45:00 ,  61.00 ,  67.00 , 2011-01-14 20:48:00 , 2011-01-15 01:33:00,Recommandation changed:85||75,Tripadvisor rating changed:4.0||3.0,' smoke free rooms'| 'fitness center',

 East Houston - Cloverleaf| Jacinto City, 1.0

 LA Intl Airport LAX| Westchester, 2.0
4:45:00, 37.00 ,  38.00 , 2011-01-14 20:48:00 , 2011-01-15 01:33:00

 Downtown Calgary| Calgary, 4.0

 West Loop - Medical District - UIC| Chicago, 3.5

 Medical Center - Astrodome| VA Hospital, 2.0
0:45:00 ,  36.00 ,  38.00 , 2011-01-14 20:48:00 , 2011-01-14 21:33:00,Recommandation changed:||75,,,
1:00:00 ,  38.00 ,  36.00 , 2011-01-14 21:33:00 , 2011-01-14 22:33:00,Recommandation changed:75||,,,
0:30:00 ,  36.00 ,  39.00 , 2011-01-14 22:33:00 , 2011-01-14 23:03:00,Recommandation changed:||75,,,
1:00:00, 39.00 ,  38.00 , 2011-01-14 23:03:00 , 2011-01-15 00:03:00
0:31:00 ,  38.00 ,  36.00 , 2011-01-15 00:03:00 , 2011-01-15 00:34:00,Recommandation changed:75||,,,

 Downey - Commerce - Norwalk| Downey, 1.0

 Medical Center - Astrodome| VA Hospital, 2.5

 Channelview| Channelview, 1.0

 Hull| Hull, 2.5
0:15:00, 86.00 ,  85.00 , 2011-01-14 20:48:00 , 2011-01-14 21:03:00

 Clear Lake - NASA Space Center - Kemah| Nassau Bay, 2.0

 Downtown Anchorage| Anchorage, 4.0

 Clear Lake - NASA Space Center - Kemah| Nassau Bay, 2.5

 Arlington Heights - Elk Grove Village| Itasca, 2.0

 Burnaby - Coquitlam| Burnaby, 2.0

 Aldine - Bush Ictl Airport IAH| Humble, 1.0
4:45:00 ,  41.00 ,  44.00 , 2011-01-14 20:48:00 , 2011-01-15 01:33:00,,Tripadvisor rating changed:||3.5,' ',

 Arlington Heights - Elk Grove Village| Itasca, 2.5

 Boston Common - Theatre District| Boston, 3.5
1:15:00, 87.00 ,  128.00 , 2011-01-14 20:48:00 , 2011-01-14 22:03:00

 Houston Galleria| West University Place, 3.0

 Inglewood| Inglewood, 2.0

 Houston Galleria| West University Place, 3.5

 Downtown Houston| Houston, 3.5

 Downtown Vancouver West| Vancouver, 3.0

 Aldine - Bush Ictl Airport IAH| Humble, 3.0

